"Date","Name","Country","Description","Sources","Hynek Scale","location","lon","lat","date"
"1941","Cape Girardeau UFO crash","United States","First responders and Baptist minister allegedly view crashed spacecraft and alien bodies. Military arrives and swears witnesses to silence.","[22][23][24]","3","cape girardeau, missouri",-89.5181476,37.3058839,1941-12-31
"1942-02-24","Battle of Los Angeles","United States","Unidentified aerial objects trigger the firing of thousands of anti-aircraft rounds and raise the wartime alert status.","[26]","2","los angeles, california",-118.2436849,34.0522342,1942-12-31
"1947-06-21","Maury Island incident","United States","Harold A. Dahl reported that his dog was killed and his son was injured by debris in an encounter with four to six flying doughnut-shaped objects. He also claimed that a witness was subsequently threatened by the Men in Black.","[29]","2","puget sound near maury island, washington",-77.0368707,38.9071923,1947-12-31
"1947-06-24","Kenneth Arnold UFO sighting","United States","The UFO sighting that sparked the name flying saucers. This sighting is considered as the start of the ""Modern UFO era"".","[30]","0","north of mount rainier, washington",-121.7269094,46.8799663,1947-12-31
"1947-06/07","1947 UFO sightings","United States","Several UFO sightings reported after the sighting of Kenneth Arnold.","[30]","","mostly washington",-77.0368707,38.9071923,1947-12-31
"1947-06","Roswell UFO crash","United States","United States Army Air Forces allegedly captured a crashed flying saucer and its alien occupants. The find was soon explained to be a weather balloon but regained attention since 1978 after investigation of S. T. Friedman.","[31][32]","3","about 30 mi north of roswell, new mexico",-104.5230242,33.3942655,1947-12-31
"1948-01-07","Thomas Mantell","United States","US Air Force sent a fighter pilot to investigate a UFO sighting over Fort Knox, Kentucky; his aircraft crashed and the pilot was killed while pursuing the UFO.","[35]","2","kentucky",-84.2700179,37.8393332,1948-12-31
"1948-07-24","Chiles-Whitted UFO encounter","United States","Chiles and Whitted, American commercial pilots, reported that their aeroplane had nearly collided with a UFO","","1","alabama",-86.902298,32.3182314,1948-12-31
"1948-10-01","Gorman dogfight","United States","A US Air Force pilot sighted and pursued a UFO for 27 minutes over Fargo, North Dakota.","[36][37]","1","north dakota",-101.0020119,47.5514926,1948-12-31
"1949","Frank Scully","United States","An alleged retrieval of a grounded UFO and its occupants from a plateau in New Mexico","","3","new mexico",-105.8700901,34.5199402,1949-12-31
"1950-05-11","McMinnville UFO photographs","United States","A farmer took pictures of a purported ""flying saucer"". These are among the best known UFO pictures, and continue to be analyzed and debated to this day.","[40]","2","a farm near mcminnville, oregon",-123.1894408,45.2332583,1950-12-31
"1950-08-05 or 15","Mariana UFO incident","United States","The manager of Great Falls' pro baseball team took color film of two UFOs flying over Great Falls. The film was extensively analyzed by the US Air Force and several independent investigators.","[41]","2","great falls, montana",-111.2833449,47.4941836,1950-12-31
"1951-08-25","Lubbock Lights","United States","Several Lights in V-Shaped formations were repeatedly spotted flying over the city. Witnesses included professors from Texas Tech University and photographed by a Texas Tech student.","[42]","2","lubbock, texas",-101.8551665,33.5778631,1951-12-31
"1951-09-10","Fort Monmouth UFO Case","United States","At Fort Monmouth Base, a radar operator picked up an unknown target. Seventeen minutes later, the crew of a T-33 saw a discus-shaped unidentified object.","[43]","2","monmouth county, new jersey",-74.123996,40.2589455,1951-12-31
"1952-07-12 to 29","1952 Washington, D.C. UFO incident","United States","A series of sightings in July 1952 accompanied radar contacts at three separate airports in the Washington area. The sightings made front page headlines around the nation, and ultimately lead to the formation of the Robertson Panel by the CIA.","[44]","1","washington, d.c.",-77.0368707,38.9071923,1952-12-31
"1952-07-24","Carson Sink UFO incident","United States","Two pilots saw three unusual Delta wing aircraft flying in a V-formation over Carson Sink.","[46]","1","near carson sink, nevada",-118.3143075,39.9335242,1952-12-31
"1952-09-12","The Flatwoods Monster","United States","Six local boys and a woman report seeing a UFO land, and saw a spade-headed creature near the landing site.","[47][48][49]","3","flatwoods, west virginia",-80.6498166,38.7231548,1952-12-31
"1953-05-21","Prescott Sightings","United States","Three Prescott residents sight a total of eight craft at Del Rio Springs Creek, 20 miles north of Prescott.","[50]","0","prescott, arizona",-112.4685025,34.5400242,1953-12-31
"1953-08-12","Ellsworth UFO sighting","United States","A UFO appearing as a red glowing light is witnessed by 45 people. The sighting takes place for two nights.","[51]","1","bismarck, north dakota",-100.7837392,46.8083268,1953-12-31
"1953-12-16","Kelly Johnson/Santa Barbara Channel Case","United States","Legendary Lockheed aircraft engineer Clarence ""Kelly"" Johnson, designer of the F-104, U-2, and SR-71, and his wife observed a huge Flying Wing over the Pacific from the ground in Agoura. Meanwhile, one of Johnson's flight test crews aboard an WV-2 (see EC-121) spotted the craft from Long Beach, California. USAF concluded these trained observers had seen a lenticular cloud, even though Johnson considered and ruled out that explanation.","[53][54]","1","seen from agoura, california, and from aircraft flying over pacific ocean",NA,NA,1953-12-31
"1955-08-21/22","Kelly–Hopkinsville encounter","United States","After the sighting of a disc-shaped aircraft a group of strange, goblin-like creatures are reported to have repeatedly approached a farm house and looked inside through the windows. Members of the two families present shot at them several times with little or no effect. The encounter lasted from evening to dawn.","[55]","3","a farmhouse near hopkinsville, kentucky",-87.4886186,36.8656008,1955-12-31
"1957-05-03","Edwards Air Force Base flying saucer filming","United States","Jack Gettys and James Bittick, who were filming base installations on behalf of test pilot and later astronaut Gordon Cooper, observed the landing and departure of a silent flying disk. Their film evidence was sent to Washington, D.C.","[57]","2?","edwards air force base (about 22 mi northeast of lancaster), california",-118.1541632,34.6867846,1957-12-31
"1957-11-02","Levelland UFO Case","United States","Numerous people describe seeing a glowing, egg-shaped object and a cigar-shaped object which caused their vehicle's engines to shut down.","[62]","2","levelland, texas",-102.37796,33.5873164,1957-12-31
"1957-12","Old-Saybrook UFO incident","United States","Reports of an elliptically-shaped UFO with square ports.","[63]","3","connecticut",-73.087749,41.6032207,1957-12-31
"1961-09-19","Betty and Barney Hill abduction","United States","The first widely publicized alien abduction experience. The Hills saw a huge flying disk while driving home in their car at late evening and were abducted and medically examined by small extraterrestrials.","[68]","4","south of lancaster on route 3, new hampshire",-71.5723953,43.1938516,1961-12-31
"1964-04-24","Lonnie Zamora incident","United States","Police officer Zamora reports a close encounter.","[69]","3","socorro, new mexico",-106.8914159,34.0583995,1964-12-31
"1964-09-05","Cisco Grove Encounter","United States","Hunter Donald Schrum claimed he saw a flying white light in the forest and was pursued by men as well as ""robots"". Condon Committee investigators were skeptical of Schrum's story because of its inconsistencies.","[70]","3","cisco grove, california",-120.5399297,39.3099025,1964-12-31
"1965 to 1967","Charles Hall","United States","Charles Hall claimed that while working at Nellis Air Force Base in Nevada he had contact with tall white aliens who often traveled to Las Vegas casinos for entertainment with CIA agents.","[71]","3","las vegas, nevada",-115.1398296,36.1699412,1965-12-31
"1965-03-09","The Incident at Exeter","United States","Numerous reports of UFOs in Exeter, New Hampshire.","[72]","2","exeter, new hampshire",-70.9477546,42.9814292,1965-12-31
"1965-12-09","Kecksburg UFO incident","United States","Mass sighting of a falling brilliant fireball dropping debris and causing sonic booms, followed by a cordoning-off of the probable crash site, alleged intimidation of a reporter by men in black and cover-up and the unresolved death of said witness.","[74]","2?","kecksburg, pennsylvania",-79.461235,40.183731,1965-12-31
"1966","The Mothman Prophecies","United States","A wave of reported sightings of a winged humanoid are connected to other mysterious events including sightings of UFOs.","[75]","3?","point pleasant, west virginia",-82.1370889,38.8445251,1966-12-31
"1966-03","Michigan Swamp Gas Sightings","United States","Widely reported wave of sightings attributed to swamp gas by J. Allen Hynek.","[76][77]","2","washtenaw county & livingston county, michigan",-83.8473015,42.3076493,1966-12-31
